,label_eva,prediction_eva
184,8,2
185,8,1
186,5,2
187,3,4
188,3,1
189,20,0
190,5,2
191,9,1
192,5,3
193,7,2
194,7,6
195,10,7
196,4,2
197,4,6
198,16,2
199,6,0
200,9,3
201,7,4
202,11,2
203,3,2
204,5,4
205,4,4
206,11,5
207,3,4
208,9,1
209,5,3
210,4,1
211,11,1
212,5,4
213,3,5
214,7,0
215,9,3
216,8,3
217,7,7
218,7,3
219,6,4
220,3,-1
221,5,3
222,9,2
223,4,3
224,10,4
225,11,3
226,8,8
227,10,3
228,4,4
229,7,7
230,6,2
231,9,4
232,4,2
233,7,8
234,7,3
235,8,4
236,11,6
237,4,3
238,3,4
239,12,3
240,4,2
241,4,6
242,4,4
243,6,2
244,11,2
245,3,0
246,6,2
247,2,4
248,8,2
249,6,3
250,10,4
251,6,8
252,3,3
253,3,4
254,3,2
255,8,6
256,10,3
257,8,7
258,5,2
259,7,2
260,3,2
261,6,3
262,3,2
263,4,7
264,4,0
265,12,3
266,15,2
267,7,6
268,5,3
269,4,3
270,7,3
271,6,5
272,5,4
273,8,7
274,3,3
275,4,2
276,5,3
277,13,2
278,8,2
279,4,0
280,7,2
281,6,0
282,6,1
283,8,2
284,18,3
285,4,0
286,8,4
287,6,1
288,6,4
289,4,2
290,4,5
291,4,3
292,5,6
293,10,8
294,2,1
295,6,5
296,7,4
297,12,2
298,4,2
299,7,1
300,6,6
301,5,2
302,9,4
303,5,7
304,5,4
305,4,7
306,8,0
307,3,4
308,14,2
309,5,4
310,3,3
311,14,5
312,13,2
313,6,2
314,5,2
315,4,2
316,9,1
317,7,3
318,3,2
319,9,7
320,5,4
321,2,3
322,0,1
323,9,3
324,7,3
325,7,5
326,7,2
327,6,3
328,8,-1
329,5,7
330,7,5
331,13,1
332,10,6
333,4,7
334,8,2
335,5,8
336,8,2
337,16,3
338,7,1
339,8,4
340,6,6
341,8,2
342,6,4
343,17,3
344,2,0
345,10,4
346,4,7
347,7,8
348,4,0
349,12,2
350,4,7
351,5,2
352,8,4
353,6,-1
354,5,6
355,9,4
356,3,6
357,6,2
358,4,4
359,7,4
360,10,6
361,8,7
362,5,1
363,7,2
364,5,3
365,13,3
366,5,3
367,5,7
368,6,4
369,2,0
370,6,2
371,8,3
372,3,2
373,5,7
374,4,1
375,7,3
376,4,3
377,5,2
378,8,5
379,9,1
380,5,8
381,7,6
382,8,4
383,4,2
384,6,8
385,4,4
386,2,2
387,6,3
388,6,0
389,2,4
390,4,3
391,5,6
392,8,3
393,4,2
394,6,3
395,4,0
396,4,6
397,6,2
398,4,2
399,5,3
400,4,2
401,3,4
402,6,3
403,5,8
404,4,7
405,5,2
406,10,4
407,8,2
408,4,6
409,4,4
410,3,1
411,1,4
412,6,4
413,1,4
414,1,2
415,11,2
416,10,2
417,12,4
418,8,2
419,2,8
420,7,7
421,2,0
422,11,1
423,4,2
424,6,6
425,8,1
426,5,2
427,3,3
428,7,6
429,4,5
430,7,4
431,4,2
432,6,3
433,3,4
434,4,3
435,7,3
436,10,1
437,8,3
438,12,4
439,7,2
440,4,3
441,1,-1
442,5,2
443,8,3
444,5,7
445,20,1
446,6,4
447,5,2
448,5,2
449,5,5
450,7,4
451,8,4
452,4,6
453,6,3
454,6,2
455,11,6
456,5,6
457,6,6
458,8,3
459,4,2
460,6,2
461,5,4
462,5,6
463,8,2
464,6,0
465,7,8
466,8,0
467,10,3
468,7,6
469,7,2
470,8,6
471,7,1
472,4,3
473,8,6
474,7,6
475,3,3
476,8,2
477,8,0
478,8,3
479,6,1
480,4,7
481,9,3
482,18,2
483,5,6
484,2,3
485,19,0
486,8,3
487,4,2
488,3,7
489,10,2
490,8,3
491,10,4
492,11,4
493,9,5
494,5,7
495,4,3
496,9,6
497,3,3
498,9,4
499,10,7
